node_id,class_name,parent_id,Generator
12912,100,-1,0
12913,17,12912,0
12914,0,12913,0
12915,73,12912,0
12916,75,12915,0
12917,73,12912,0
12918,75,12917,0
12919,74,12912,0
12920,75,12919,0
12921,74,12912,0
12922,75,12921,0
12923,74,12912,0
12924,75,12923,0
12925,75,12923,0
12926,74,12912,0
12927,75,12926,0
12928,75,12926,0
12929,75,12926,0
12930,74,12912,0
12931,75,12930,0
12932,65,12912,0
12933,12,12932,0
12934,14,12933,0
12935,0,12932,0
12936,65,12912,0
12937,12,12936,0
12938,14,12937,0
12939,0,12936,0
12940,65,12912,0
12941,12,12940,0
12942,14,12941,0
12943,0,12940,0
12944,65,12912,0
12945,12,12944,0
12946,14,12945,0
12947,9,12944,0
12948,0,12947,0
12949,0,12947,0
12950,95,12912,0
12951,17,12950,0
12952,0,12951,0
12953,65,12950,0
12954,12,12953,0
12955,14,12954,0
12956,0,12953,0
12957,87,12950,0
12958,89,12957,0
12959,90,12958,0
12960,90,12958,0
12961,90,12958,0
12962,90,12958,0
12963,90,12958,0
12964,90,12958,0
12965,90,12958,0
12966,90,12958,0
12967,90,12958,0
12968,90,12958,0
12969,90,12958,0
12970,90,12958,0
12971,90,12958,0
12972,90,12958,0
12973,12,12958,0
12974,13,12973,0
12975,0,12958,0
12976,0,12958,0
12977,0,12958,0
12978,0,12958,0
12979,0,12958,0
12980,0,12958,0
12981,0,12958,0
12982,0,12958,0
12983,0,12958,0
12984,12,12958,0
12985,13,12984,0
12986,17,12957,0
12987,0,12986,0
12988,65,12957,0
12989,55,12988,0
12990,12,12989,0
12991,13,12990,0
12992,14,12989,0
12993,12,12988,0
12994,13,12993,0
12995,65,12957,0
12996,55,12995,0
12997,12,12996,0
12998,13,12997,0
12999,14,12996,0
13000,12,12995,0
13001,13,13000,0
13002,65,12957,0
13003,55,13002,0
13004,12,13003,0
13005,13,13004,0
13006,14,13003,0
13007,12,13002,0
13008,13,13007,0
13009,65,12957,0
13010,55,13009,0
13011,12,13010,0
13012,13,13011,0
13013,14,13010,0
13014,12,13009,0
13015,13,13014,0
13016,65,12957,0
13017,55,13016,0
13018,12,13017,0
13019,13,13018,0
13020,14,13017,0
13021,12,13016,0
13022,13,13021,0
13023,65,12957,0
13024,55,13023,0
13025,12,13024,0
13026,13,13025,0
13027,14,13024,0
13028,12,13023,0
13029,13,13028,0
13030,65,12957,0
13031,55,13030,0
13032,12,13031,0
13033,13,13032,0
13034,14,13031,0
13035,12,13030,0
13036,13,13035,0
13037,65,12957,0
13038,55,13037,0
13039,12,13038,0
13040,13,13039,0
13041,14,13038,0
13042,38,13037,0
13043,40,13042,0
13044,12,13042,0
13045,13,13044,0
13046,9,13042,0
13047,65,12957,0
13048,55,13047,0
13049,12,13048,0
13050,13,13049,0
13051,14,13048,0
13052,12,13047,0
13053,13,13052,0
13054,65,12957,0
13055,55,13054,0
13056,12,13055,0
13057,13,13056,0
13058,14,13055,0
13059,12,13054,0
13060,13,13059,0
13061,65,12957,0
13062,55,13061,0
13063,12,13062,0
13064,13,13063,0
13065,14,13062,0
13066,12,13061,0
13067,13,13066,0
13068,65,12957,0
13069,55,13068,0
13070,12,13069,0
13071,13,13070,0
13072,14,13069,0
13073,12,13068,0
13074,13,13073,0
13075,65,12957,0
13076,55,13075,0
13077,12,13076,0
13078,13,13077,0
13079,14,13076,0
13080,0,13075,0
13081,65,12957,0
13082,55,13081,0
13083,12,13082,0
13084,13,13083,0
13085,14,13082,0
13086,0,13081,0
13087,65,12957,0
13088,55,13087,0
13089,12,13088,0
13090,13,13089,0
13091,14,13088,0
13092,0,13087,0
13093,17,12957,0
13094,52,13093,0
13095,55,13094,0
13096,12,13095,0
13097,13,13096,0
13098,13,13095,0
13099,55,13094,0
13100,12,13099,0
13101,13,13100,0
13102,13,13099,0
13103,87,12950,0
13104,89,13103,0
13105,90,13104,0
13106,17,13103,0
13107,0,13106,0
13108,91,13103,0
13109,9,13108,0
13110,0,13109,0
13111,0,13109,0
13112,55,13109,0
13113,12,13112,0
13114,13,13113,0
13115,13,13112,0
13116,55,13109,0
13117,12,13116,0
13118,13,13117,0
13119,13,13116,0
13120,12,13103,0
13121,13,13120,0
13122,87,12950,0
13123,89,13122,0
13124,90,13123,0
13125,90,13123,0
13126,90,13123,0
13127,17,13122,0
13128,0,13127,0
13129,69,13122,0
13130,52,13129,0
13131,12,13130,0
13132,13,13131,0
13133,0,13130,0
13134,87,12950,0
13135,89,13134,0
13136,90,13135,0
13137,90,13135,0
13138,90,13135,0
13139,17,13134,0
13140,0,13139,0
13141,69,13134,0
13142,52,13141,0
13143,12,13142,0
13144,13,13143,0
13145,0,13142,0
13146,87,12950,0
13147,89,13146,0
13148,90,13147,0
13149,90,13147,0
13150,90,13147,0
13151,17,13146,0
13152,0,13151,0
13153,69,13146,0
13154,52,13153,0
13155,12,13154,0
13156,13,13155,0
13157,0,13154,0
13158,87,12950,0
13159,89,13158,0
13160,90,13159,0
13161,90,13159,0
13162,90,13159,0
13163,90,13159,0
13164,90,13159,0
13165,90,13159,0
13166,90,13159,0
13167,0,13159,0
13168,0,13159,0
13169,0,13159,0
13170,0,13159,0
13171,17,13158,0
13172,0,13171,0
13173,76,13158,0
13174,19,13173,0
13175,22,13174,0
13176,52,13174,0
13177,12,13176,0
13178,13,13177,0
13179,12,13176,0
13180,13,13179,0
13181,69,13173,0
13182,52,13181,0
13183,12,13182,0
13184,13,13183,0
13185,65,13158,0
13186,12,13185,0
13187,14,13186,0
13188,38,13185,0
13189,40,13188,0
13190,12,13188,0
13191,13,13190,0
13192,55,13188,0
13193,12,13192,0
13194,13,13193,0
13195,13,13192,0
13196,65,13158,0
13197,12,13196,0
13198,14,13197,0
13199,63,13196,0
13200,52,13199,0
13201,55,13200,0
13202,12,13201,0
13203,13,13202,0
13204,13,13201,0
13205,12,13199,0
13206,13,13205,0
13207,64,13199,0
13208,7,13207,0
13209,12,13208,0
13210,14,13209,0
13211,12,13208,0
13212,14,13211,0
13213,14,13208,0
13214,52,13207,0
13215,55,13214,0
13216,55,13215,0
13217,12,13216,0
13218,13,13217,0
13219,13,13216,0
13220,13,13215,0
13221,76,13158,0
13222,19,13221,0
13223,22,13222,0
13224,41,13222,0
13225,52,13224,0
13226,55,13225,0
13227,55,13226,0
13228,12,13227,0
13229,13,13228,0
13230,13,13227,0
13231,13,13226,0
13232,50,13224,0
13233,12,13224,0
13234,13,13233,0
13235,69,13221,0
13236,52,13235,0
13237,12,13236,0
13238,13,13237,0
13239,24,13236,0
13240,0,13239,0
13241,30,13239,0
13242,55,13239,0
13243,12,13242,0
13244,13,13243,0
13245,13,13242,0
13246,76,13158,0
13247,19,13246,0
13248,22,13247,0
13249,38,13247,0
13250,40,13249,0
13251,55,13249,0
13252,12,13251,0
13253,13,13252,0
