Nombre_archivo;Namespace;begin_line;end_line;yield_line;
docs\conf.py;None;None;None;None;
docs\tasks.py;None;None;None;None;
examples\tasks.py;None;None;None;None;
flower\api\__init__.py;None;None;None;None;
 flower\api\control.py;None;None;None;None; 
flower\api\events.py;None;None;None;None; 
flower\api\tasks.py; 'TaskApply', 'post';89;148;146;
flower\api\tasks.py;GetQueueLengths', 'get';370;422;421;
flower\api\workers.py;ListWorkers', 'get';15;185;173;
flower\utils\__init__.py;None;None;None;None; 
flower\utils\broker.py;RabbitMQ', 'Queues', ;66;87;74; 
flower\utils\broker.py; 'main';255;267;264;
flower\utils\search.py;None;None;None;None;
flower\utils\tasks.py;iter_tasks',  'convert';17;48;44; 
flower\utils\tasks.py;sort_tasks';54;64;64;
flower\utils\template.py;None;None;None;None;
flower\views\__init__.py;None;None;None;None;
flower\views\auth.py;GoogleAuth2LoginHandler', 'get';21;36;24,28,30;
flower\views\auth.py;GoogleAuth2LoginHandler', '_on_auth';39;65;45;
flower\views\auth.py;GithubLoginHandler', 'get_authenticated_user';81;100;90;
flower\views\auth.py;GithubLoginHandler', 'get';103;118;106,110,112;
flower\views\auth.py;GithubLoginHandler', '_on_auth';121;146;126;
flower\views\auth.py;GitlabLoginHandler', 'get_authenticated_user';156;173;164;
flower\views\auth.py;GitlabLoginHandler', 'get';176;191;179,183,185;
flower\views\auth.py;GitlabLoginHandler', '_on_auth';194;239;203,218;
flower\views\auth.py;OktaLoginHandler', 'get_access_token';263;282;272;
flower\views\auth.py;OktaLoginHandler', 'get';285;309;295,299,303;
flower\views\auth.py;OktaLoginHandler', '_on_auth';312;342;317;
flower\views\broker.py;BrokerView', 'get';17;49;43;
flower\views\dashboard.py;DashboardView', '_info', '_keys';76;80;80;
flower\views\error.py;None;None;None;None;
flower\views\monitor.py;None;None;None;None;
flower\views\tasks.py;None;None;None;None;
flower\views\workers.py;None;None;None;None;
flower\__init__.py;None;None;None;None;
flower\__main__.py;None;None;None;None;
flower\app.py;None;None;None;None;
flower\command.py;None;None;None;None;
flower\events.py;None;None;None;None;
flower\inspector.py;None;None;None;None;
flower\options.py;None;None;None;None;
flower\urls.py;None;None;None;None;
tests\unit\api\__init__.py;None;None;None;None;
tests\unit\api\test_control.py;None;None;None;None;
tests\unit\api\test_events.py;None;None;None;None;
tests\unit\api\test_tasks.py;None;None;None;None;
tests\unit\api\test_workers.py;None;None;None;None;
tests\unit\utils\__init__.py;None;None;None;None;
tests\unit\utils\test_broker.py;None;None;None;None;
tests\unit\utils\test_search.py;None;None;None;None;
tests\unit\utils\test_template.py;None;None;None;None;
tests\unit\utils\test_utils.py;None;None;None;None;
tests\unit\views\__init__.py;None;None;None;None;
tests\unit\views\test_auth.py;None;None;None;None;
tests\unit\views\test_dashboard.py;None;None;None;None;
tests\unit\views\test_error.py;None;None;None;None;
tests\unit\views\test_monitor.py;None;None;None;None;
tests\unit\views\test_tasks.py;None;None;None;None;
tests\unit\views\test_url_handlers.py;None;None;None;None;
tests\unit\__init__.py;None;None;None;None;
tests\unit\__main__.py;None;None;None;None;
tests\unit\test_command.py;None;None;None;None;
tests\__init__.py;None;None;None;None;
tests\load.py;None;None;None;None;
setup.py;None;None;None;None;
